Date,lng_gas
11/15/2022,27.397
11/16/2022,25.885
11/17/2022,26.315
11/18/2022,26.385
11/21/2022,27.3
11/22/2022,29.215
11/23/2022,31.115
11/25/2022,29.96
11/28/2022,30.28
11/29/2022,30.505
11/30/2022,33.31
12/1/2022,33.78
12/2/2022,31.76
12/5/2022,33.185
12/6/2022,32.845
12/7/2022,33.35
12/8/2022,34.295
12/9/2022,33.365
12/12/2022,32.925
12/13/2022,33.345
12/14/2022,33.385
12/15/2022,33.443
12/16/2022,35.575
12/19/2022,36.49
12/20/2022,34.915
12/21/2022,31.68
12/22/2022,31.635
12/23/2022,28.12
12/27/2022,28.185
12/28/2022,28.51
12/29/2022,28.83
12/30/2022,29.515
1/3/2023,29.345
1/4/2023,29.5
1/5/2023,28.85
1/6/2023,28.45
1/9/2023,27.115
1/10/2023,27.06
1/11/2023,26.87
1/12/2023,26.76
1/13/2023,26.807
1/17/2023,22.725
1/18/2023,23.09
1/19/2023,22.95
1/20/2023,22.815
1/23/2023,23.255
1/24/2023,22.115
1/25/2023,20.94
1/26/2023,20.165
1/27/2023,19.5
1/30/2023,19.485
1/31/2023,19.025
2/1/2023,18.97
2/2/2023,18.37
2/3/2023,18.525
2/6/2023,18.495
2/7/2023,18.185
2/8/2023,17.93
2/9/2023,17.915
2/10/2023,17.985
2/13/2023,17.895
2/14/2023,17.89
2/15/2023,17.882
2/16/2023,16.295
2/17/2023,15.92
2/21/2023,14.3
2/22/2023,14.84
2/23/2023,14.9
2/24/2023,14.99
2/27/2023,14.97
2/28/2023,14.36
3/1/2023,14.58
3/2/2023,14.585
3/3/2023,14.325
3/6/2023,14.285
3/7/2023,13.94
3/8/2023,13.895
3/9/2023,14.31
3/10/2023,14.155
3/13/2023,14.245
3/14/2023,14.2
3/15/2023,14.168
3/16/2023,13.555
3/17/2023,13.18
3/20/2023,13.155
3/21/2023,13.645
3/22/2023,12.64
3/23/2023,13.335
3/24/2023,12.7
3/27/2023,12.525
3/28/2023,12.505
3/29/2023,12.535
3/30/2023,12.7
3/31/2023,13.515
4/3/2023,12.75
4/4/2023,13.16
4/5/2023,12.68
4/6/2023,12.625
4/10/2023,12.625
4/11/2023,12.57
4/12/2023,12.625
4/13/2023,12.605
4/14/2023,12.593
4/17/2023,12.49
4/18/2023,12.85
4/19/2023,12.245
4/20/2023,12.235
4/21/2023,11.88
4/24/2023,11.875
4/25/2023,11.845
4/26/2023,11.64
4/27/2023,11.595
4/28/2023,11.55
5/1/2023,11.55
5/2/2023,11.495
5/3/2023,11.5
5/4/2023,11.31
5/5/2023,11.315
5/8/2023,11.315
5/9/2023,11.24
5/10/2023,11.21
5/11/2023,11.16
5/12/2023,11.115
5/15/2023,11.049
5/16/2023,9.855
5/17/2023,9.945
5/18/2023,9.715
5/19/2023,9.84
5/22/2023,9.755
5/23/2023,9.735
5/24/2023,9.58
5/25/2023,9.35
5/26/2023,9.235
5/30/2023,9.365
5/31/2023,9.285
6/1/2023,9.265
6/2/2023,9.285
6/5/2023,9.265
6/6/2023,9.21
6/7/2023,9.235
6/8/2023,9.21
6/9/2023,9.25
6/12/2023,9.265
6/13/2023,9.3
6/14/2023,9.4
6/15/2023,9.584
6/16/2023,11.2
6/20/2023,12.74
6/21/2023,12.475
6/22/2023,12.065
6/23/2023,11.835
6/26/2023,11.79
6/27/2023,12.07
6/28/2023,12.02
6/29/2023,12.12
6/30/2023,12.24
7/3/2023,12.08
7/5/2023,12.1
7/6/2023,12.075
7/7/2023,12.085
7/10/2023,12.06
7/11/2023,12.02
7/12/2023,11.975
7/13/2023,11.91
7/14/2023,11.869
7/17/2023,10.56
7/18/2023,11.02
7/19/2023,10.745
7/20/2023,10.92
7/21/2023,10.885
7/24/2023,11.26
7/25/2023,11.46
7/26/2023,11.1
7/27/2023,10.97
7/28/2023,10.78
7/31/2023,10.92
8/1/2023,10.925
8/2/2023,10.97
8/3/2023,11
8/4/2023,10.955
8/7/2023,10.98
8/8/2023,10.955
8/9/2023,11.03
8/10/2023,11.045
8/11/2023,11.085
8/14/2023,11.145
8/15/2023,11.205
8/16/2023,14.32
8/17/2023,14.16
8/18/2023,13.95
8/21/2023,14.3
8/22/2023,14.3
8/23/2023,13.735
8/24/2023,12.92
8/25/2023,13.46
8/28/2023,13.46
8/29/2023,13.395
8/30/2023,13.405
8/31/2023,13.2
9/1/2023,13.395
9/5/2023,13.24
9/6/2023,13.21
9/7/2023,13.32
9/8/2023,13.33
9/11/2023,13.385
9/12/2023,13.39
9/13/2023,13.39
9/14/2023,13.365
9/15/2023,13.329
9/18/2023,13.99
9/19/2023,14.25
9/20/2023,14.24
9/21/2023,14.33
9/22/2023,14.595
9/25/2023,14.99
9/26/2023,14.65
9/27/2023,14.595
9/28/2023,14.76
9/29/2023,14.63
10/2/2023,14.395
10/3/2023,14.245
10/4/2023,14.15
10/5/2023,14.105
10/6/2023,14.075
10/9/2023,14.155
10/10/2023,14.245
10/11/2023,14.305
10/12/2023,14.36
10/13/2023,14.475
10/16/2023,17.72
10/17/2023,17.645
10/18/2023,18.29
10/19/2023,18.245
10/20/2023,18.4
10/23/2023,18.585
10/24/2023,17.84
10/25/2023,17.955
10/26/2023,17.91
10/27/2023,17.895
10/30/2023,17.91
10/31/2023,17.72
11/1/2023,17.655
11/2/2023,17.645
11/3/2023,17.57
11/6/2023,17.445
11/7/2023,17.355
11/8/2023,17.29
11/9/2023,17.255
11/10/2023,17.185
11/13/2023,17.2
11/14/2023,17.125
11/15/2023,17.102
11/16/2023,17.1
11/17/2023,16.975
11/20/2023,17.125
11/21/2023,16.465
11/22/2023,16.49
11/24/2023,17.095
11/27/2023,16.505
11/28/2023,16.42
11/29/2023,16.245
11/30/2023,16.135
12/1/2023,16.25
12/4/2023,16.05
12/5/2023,16.06
12/6/2023,16.005
12/7/2023,16.05
12/8/2023,15.975
12/11/2023,15.745
12/12/2023,15.615
12/13/2023,15.455
12/14/2023,15.325
12/15/2023,15.197
12/18/2023,12.395
12/19/2023,11.775
12/20/2023,11.81
12/21/2023,11.935
12/22/2023,11.945
12/26/2023,11.945
12/27/2023,11.87
12/28/2023,11.725
12/29/2023,11.52
