Date,crude_oil
11/30/2022,86.22
12/1/2022,80.94
12/2/2022,80.1
12/5/2022,77.52
12/6/2022,75.12
12/7/2022,73.88
12/8/2022,73.45
12/9/2022,73.71
12/12/2022,75.13
12/13/2022,76.62
12/14/2022,77.67
12/15/2022,76.9
12/16/2022,75.89
12/19/2022,76.31
12/20/2022,76.4
12/21/2022,77.1
12/22/2022,76.87
12/23/2022,77.48
12/27/2022,77.52
12/28/2022,77.39
12/29/2022,77.24
12/30/2022,77.2
1/3/2023,77.91
1/4/2023,74.69
1/5/2023,75.46
1/6/2023,75.4
1/9/2023,76.43
1/10/2023,77.06
1/11/2023,78.68
1/12/2023,79.39
1/13/2023,80.02
1/17/2023,80.66
1/18/2023,80.19
1/19/2023,80.49
1/20/2023,81
1/23/2023,81.07
1/24/2023,80.6
1/25/2023,80.57
1/26/2023,80.74
1/27/2023,80.58
1/30/2023,80.42
1/31/2023,80.38
2/1/2023,80.32
2/2/2023,80.07
2/3/2023,78.1
2/6/2023,78.97
2/7/2023,81.19
2/8/2023,82.17
2/9/2023,81.86
2/10/2023,83.15
2/13/2023,83.52
2/14/2023,83.05
2/15/2023,82.95
2/16/2023,82.83
2/17/2023,82.07
2/21/2023,82.17
2/22/2023,81.69
2/23/2023,81.98
2/24/2023,82.12
2/27/2023,82.05
2/28/2023,82.08
3/1/2023,82.35
3/2/2023,83.06
3/3/2023,84.31
3/6/2023,84.4
3/7/2023,82.07
3/8/2023,81.97
3/9/2023,81.24
3/10/2023,82.16
3/13/2023,81.01
3/14/2023,79.2
3/15/2023,77.25
3/16/2023,77.85
3/17/2023,77.14
3/20/2023,77.37
3/21/2023,77.97
3/22/2023,78.35
3/23/2023,78.13
3/24/2023,77.86
3/27/2023,78.4
3/28/2023,78.45
3/29/2023,78.41
3/30/2023,78.47
3/31/2023,78.49
4/3/2023,84.69
4/4/2023,84.47
4/5/2023,84.59
4/6/2023,84.99
4/10/2023,84.28
4/11/2023,85.19
4/12/2023,86.35
4/13/2023,85.61
4/14/2023,85.64
4/17/2023,84.95
4/18/2023,85
4/19/2023,84.36
4/20/2023,83.55
4/21/2023,83.71
4/24/2023,83.9
4/25/2023,83.62
4/26/2023,83.23
4/27/2023,83.32
4/28/2023,83.41
5/1/2023,79.24
5/2/2023,75.01
5/3/2023,72.28
5/4/2023,72.5
5/5/2023,74.88
5/8/2023,76.25
5/9/2023,76.55
5/10/2023,75.64
5/11/2023,74.74
5/12/2023,74.01
5/15/2023,74.54
5/16/2023,74.42
5/17/2023,75.18
5/18/2023,74.76
5/19/2023,74.61
5/22/2023,74.77
5/23/2023,74.99
5/24/2023,75.41
5/25/2023,75
5/26/2023,75.14
5/30/2023,74.95
5/31/2023,74.93
6/1/2023,72.75
6/2/2023,74.41
6/5/2023,75.14
6/6/2023,75.5
6/7/2023,75.83
6/8/2023,75.2
6/9/2023,74.38
6/12/2023,72.41
6/13/2023,73.89
6/14/2023,73.42
6/15/2023,74.69
6/16/2023,75.2
6/20/2023,75.1
6/21/2023,75.7
6/22/2023,74.91
6/23/2023,74.88
6/26/2023,74.93
6/27/2023,74.78
6/28/2023,74.94
6/29/2023,74.95
6/30/2023,74.99
7/3/2023,74.91
7/5/2023,76.42
7/6/2023,76.54
7/7/2023,78.24
7/10/2023,77.62
7/11/2023,78.79
7/12/2023,79.07
7/13/2023,79.89
7/14/2023,79.31
7/17/2023,78.83
7/18/2023,79.33
7/19/2023,79.3
7/20/2023,79.41
7/21/2023,79.9
7/24/2023,80.3
7/25/2023,80.49
7/26/2023,80.29
7/27/2023,80.42
7/28/2023,80.43
7/31/2023,80.44
8/1/2023,85.58
8/2/2023,84.32
8/3/2023,86.18
8/4/2023,87.23
8/7/2023,86.75
8/8/2023,87.47
8/9/2023,88.18
8/10/2023,87.32
8/11/2023,87.63
8/14/2023,87.2
8/15/2023,86.39
8/16/2023,85.68
8/17/2023,86
8/18/2023,86.44
8/21/2023,86.36
8/22/2023,86.28
8/23/2023,86.09
8/24/2023,86.18
8/25/2023,86.4
8/28/2023,86.39
8/29/2023,86.43
8/30/2023,86.42
8/31/2023,86.46
9/1/2023,89.68
9/5/2023,90.8
9/6/2023,91.69
9/7/2023,90.86
9/8/2023,91.37
9/11/2023,91.38
9/12/2023,92.34
9/13/2023,92.18
9/14/2023,93.45
9/15/2023,93.56
9/18/2023,93.64
9/19/2023,93.15
9/20/2023,93.14
9/21/2023,93.04
9/22/2023,93.05
9/25/2023,92.91
9/26/2023,93.03
9/27/2023,93.26
9/28/2023,93.16
9/29/2023,93.31
10/2/2023,91.33
10/3/2023,91.43
10/4/2023,86.93
10/5/2023,85.5
10/6/2023,85.88
10/9/2023,88.54
10/10/2023,88.22
10/11/2023,87.21
10/12/2023,87.37
10/13/2023,90.12
10/16/2023,89.61
10/17/2023,89.84
10/18/2023,90.53
10/19/2023,90.83
10/20/2023,90.66
10/23/2023,90.07
10/24/2023,89.54
10/25/2023,90.02
10/26/2023,89.64
10/27/2023,89.88
10/30/2023,89.68
10/31/2023,89.76
11/1/2023,85.24
11/2/2023,87.65
11/3/2023,85.93
11/6/2023,86.32
11/7/2023,83.58
11/8/2023,82.2
11/9/2023,82.44
11/10/2023,83.35
11/13/2023,83.86
11/14/2023,83.82
11/15/2023,83.21
11/16/2023,81.51
11/17/2023,83.08
11/20/2023,83.78
11/21/2023,83.92
11/22/2023,83.76
11/24/2023,83.4
11/27/2023,83.32
11/28/2023,83.46
11/29/2023,83.49
11/30/2023,83.56
12/1/2023,79.44
12/4/2023,78.19
12/5/2023,77.48
12/6/2023,75.3
12/7/2023,75.27
12/8/2023,76.51
12/11/2023,76.77
12/12/2023,74.98
12/13/2023,74.87
12/14/2023,76.3
12/15/2023,76.34
12/18/2023,76.72
12/19/2023,77.19
12/20/2023,77.36
12/21/2023,77.27
12/22/2023,77.29
12/26/2023,77.59
12/27/2023,77.39
12/28/2023,77.29
12/29/2023,77.33
